T_shS_1,T_shS_2,T_shS_3,T_shS_5,T_shS_6,T_shS_7,T_shS_8,T_shS_10,T_shS_41,T_shS_42,T_shS_43,T_shS_44,T_shS_45,T_shS_46,T_shS_47,T_shS_48,T_gmSB_1,T_gmSB_2,T_gmSB_3,T_gmSB_4,T_gmSB_5,T_gmSB_6
25,163333,78400,25088,25088,2250,25,29994,18816,6272,18816,6272,18816,6272,18816,6272,201899,12544,94080,6272,103488,6272
25,60859,78400,12544,12544,1425,25,30154,9408,3136,9408,3136,9408,3136,9408,3136,186568,6272,47040,3136,0,3136
25,172792,40768,75264,75264,2325,25,20710,157020,18816,154734,18816,163748,18816,156258,18816,178773,37632,206976,18816,633184,18816
7,43160,57232,4704,4704,420,7,21201,6024,1176,6128,1176,6024,1176,6128,1176,111443,2352,36456,1176,7840,1176
7,43129,19600,28224,28224,651,7,10064,54000,7056,50352,7056,79536,7056,79536,7056,64050,14112,105840,7056,223440,7056
7,43158,85456,4704,4704,420,7,31113,8328,1176,8528,1176,8328,1176,8528,1176,149577,2352,50568,1176,3136,1176
7,43159,19600,28224,28224,651,7,10064,79536,7056,79536,7056,54000,7056,50352,7056,64080,14112,105840,7056,223440,7056
2,10611,21364,1568,1568,186,2,7947,2876,392,1176,392,1176,392,4376,392,34428,784,16856,392,1568,392
2,10999,4900,9408,9408,186,2,2891,7056,2352,48912,2352,29292,2352,7056,2352,17804,4704,35280,2352,77028,2352
2,11387,28420,1568,1568,194,2,10491,3692,392,1176,392,1176,392,5912,392,44028,784,21560,392,0,392
2,10999,4900,9408,9408,186,2,2891,7056,2352,48912,2352,29292,2352,7056,2352,17804,4704,35280,2352,77028,2352
2,11387,28420,1568,1568,194,2,10491,3692,392,1176,392,1176,392,5912,392,44028,784,21560,392,0,392
2,10999,4900,9408,9408,186,2,2891,7056,2352,48912,2352,29292,2352,7056,2352,17804,4704,35280,2352,77028,2352
1,2836,7105,784,784,97,1,3255,588,196,588,196,588,196,6027,196,11874,392,10780,196,0,196
1,2596,2401,4704,4704,93,1,2695,39347,1176,3528,1176,3528,1176,3528,1176,8522,2352,27048,1176,31556,1176
1,5236,14161,784,784,145,1,6375,588,196,13083,196,588,196,588,196,22146,392,20188,196,0,196
1,2692,2401,4704,4704,93,1,2695,3528,1176,3528,1176,39347,1176,3528,1176,8618,2352,27048,1176,31556,1176
1,5140,14161,784,784,145,1,6375,588,196,588,196,588,196,13083,196,22050,392,20188,196,0,196
1,2596,2401,4704,4704,93,1,2695,39347,1176,3528,1176,3528,1176,3528,1176,8522,2352,27048,1176,31556,1176
1,5236,14161,784,784,145,1,6375,588,196,13083,196,588,196,588,196,22146,392,20188,196,0,196
1,2692,2401,4704,4704,93,1,2695,3528,1176,3528,1176,39347,1176,3528,1176,8618,2352,27048,1176,31556,1176
2,10328,28322,1176,1176,218,2,7267,5979,293,5982,294,5982,294,6410,295,42562,588,30282,294,0,294
2,5336,7154,7056,7056,120,2,5245,18672,1764,19348,1765,18669,1763,19114,1764,19715,3530,54715,1765,33340,1765
2,14936,42434,1176,1176,317,2,10768,7266,294,10455,293,7532,294,10860,295,62685,586,44243,293,0,293
2,5336,7154,7056,7056,120,2,5245,18672,1764,19348,1765,18669,1763,19114,1764,19715,3530,54715,1765,33340,1765
2,14936,42434,1176,1176,317,2,10768,7266,294,10455,293,7532,294,10860,295,62685,586,44243,293,0,293
2,5336,7154,7056,7056,120,2,5245,18672,1764,19348,1765,18669,1763,19114,1764,19715,3530,54715,1765,33340,1765
3,5628,16887,520,520,510,3,7928,2784,130,6239,129,3183,130,3186,131,27916,258,19479,129,0,129
5,3356,7865,3120,3120,333,5,11135,7047,781,7035,777,11995,781,7047,781,22708,1554,36519,777,2848,777
5,15104,46865,520,520,1445,5,13003,3367,130,3367,130,3367,130,6344,130,61802,260,32110,130,0,130
5,3332,7865,3120,3120,333,5,11135,11995,781,7047,781,7047,781,7035,777,22464,1562,36707,781,2864,781
5,15128,46865,520,520,1445,5,13003,3367,130,6344,130,3367,130,3367,130,61826,260,32110,130,0,130
5,3356,7865,3120,3120,333,5,11135,7047,781,7035,777,11995,781,7047,781,22708,1554,36519,777,2848,777
10,30196,93730,1040,1040,2890,10,22863,9711,260,6734,260,6734,260,9711,260,120449,520,64220,260,0,260
13,14344,40729,4160,4160,1257,13,28407,18015,1037,24105,1043,18015,1037,20517,1043,82982,2086,90741,1043,0,1043
